wave_base	wave_top
480.01937	481.08295
483.50000	489.65160
490.03379	490.61648
491.74775	493.01814
493.60612	494.23892
495.42889	496.89637
498.25104	498.83564
499.06682	499.69222
499.80961	500.47491
501.20238	502.15608
502.54486	503.08146
504.14253	506.27680
506.59539	507.14949
507.65977	508.61066
509.80223	510.32553
510.46632	511.03212
512.46008	522.01662
522.04881	522.81860
523.00859	523.88429
523.97537	525.97125
526.02544	527.57902
527.89580	529.11949
529.26198	531.01156
531.38514	532.88022
533.50540	534.28160
535.99926	537.27394
537.68603	541.81836
542.25275	543.93602
544.22471	544.79021
545.23989	545.86259
546.16308	546.96507
546.98746	548.57094
548.90303	549.44843
549.85991	550.97840
551.97967	552.82847
553.22025	553.75625
554.11623	554.91863
555.75220	556.30240
556.46099	557.96757
558.38506	558.98695
559.21054	559.74024
559.76293	560.29623
561.29300	562.13680
562.48028	563.03388
563.40287	564.10716
564.40125	567.02291
567.56839	568.18119
569.33926	569.87796
569.88345	570.81824
572.90770	573.49899
573.90858	574.45778
574.92046	575.47676
577.22892	578.11811
578.19990	578.73230
579.12298	579.66918
580.92475	581.75344
583.24381	583.77731
584.26179	586.51966
591.35796	591.89576
592.50224	593.30064
593.82522	594.36202
595.38549	595.93609
596.69137	597.22677
597.40895	597.95435
598.86363	599.40473
600.02201	600.58591
600.94489	602.98276
605.14122	605.87251
606.26820	606.85869
607.57087	608.68576
609.09394	609.93994
611.06971	611.60691
611.75790	612.29470
612.51998	613.23838
613.35367	614.06236
614.65724	615.43974
616.26622	616.80761
617.05650	617.60770
617.75299	618.30369
618.48878	619.44467
619.75175	620.31065
621.06123	621.61923
621.64362	622.20952
622.39821	623.54519
623.55448	624.34018
624.34897	625.71125
626.23694	627.40972
627.78801	628.34551
628.80059	629.31959
629.50838	630.44937
630.88595	631.85544
631.99233	632.55033
632.81372	633.97321
634.13699	634.68619
635.12398	636.15137
636.67325	637.21715
637.79613	638.83732
638.98171	639.65620
639.69799	640.31609
640.44658	642.42935
642.81044	643.53853
644.01752	644.56572
645.35409	645.91739
646.18898	646.73988
647.29766	647.83246
647.91735	648.65074
649.22102	650.16432
651.32359	660.02974
660.63232	661.19172
662.23649	663.02398
663.10877	663.64587
664.54315	665.07965
666.50691	667.05061
669.64626	671.65143
672.26661	673.58509
673.68178	674.21778
674.24117	675.54686
678.41200	678.96120
679.04599	679.59049
